OAI,015_1,02X_1,1XX_1,245_1,250_1,26X_1,publication_year_1,300_1,pages_1,format_1,4X0_1,787_1,bl_language_1,015_2,02X_2,1XX_2,245_2,250_2,26X_2,publication_year_2,300_2,pages_2,format_2,4X0_2,787_2,bl_language_2,typ_duplicity
ntk.STK01-000963612 ntk.STK01-000914064,,$a0-471-19238-4,"$aKolb, Bruno",$aStatic Headspace-Gas Chromatography : $bTheory and Practice /,,"$aNew York : $bWiley-VCH, $c1997.",1997,"$av-xx, 298 s.",298,BOOKS,,,eng,,$a0-471-19238-4,"$aKolb, Bruno",$aStatic headspace-gas chromatography : $btheory and practice /,$a1st ed,"$aNew York : $bWiley, $c1997",1997,$a298 s.,298,BOOKS,,,eng,real
nkp.NKC01-000877173 nkp.NKC01-000877174,,$a0-7139-0333-3 $q(váz.),"$aMainstone, Rowland J.",$aDevelopments in structural form /,$a1. Publ.,"$aLondon : $bA. Lane, $c1975",1975,$a350 s. :,350,BOOKS,,,eng,,$q(Brož.) :,"$aMainstone, Rowland J.",$aDevelopments in structural form /,$a1. Amer. Ed.,"$aCambridge : $bThe M.I.T. Pr., $c1975",1975,$a350 s. :,350,BOOKS,,,eng,distinct
caslin.SKC01-001168683 caslin.SKC01-009903216,,$a0-7923-4338-7,$aNanoparticles in Solids and Solutions - An Integrated Approach to Their Preparation and Characterization $c(Szeged $d1996),$aNanoparticles in solids and solutions : $b[Proceedings of the NATO Advanced Research Workshop] /,$a1st Ed.,"$aDordrecht : $bKluwer, $c[cop. 1996]",1996,"$axiii, 580 s.",580,BOOKS,$aNATO science series. 3. High technology. Vol.18,,eng,,$a0-7923-4338-7,,$aNanoparticles in solids and solutions : $b[Proceedings of the NATO Advanced Research Workshop] /,$a1st Ed.,"$aDordrecht : $bKluwer, $c[cop. 1996].",1996,"$axiii, 580 s.",580,BOOKS,$aNATO science series. 3. High technology; $vVol. 18,,eng,real
ntk.STK01-000170699 ntk.STK01-000914417,,$a1-56670-644-0,"$aSonnemann, Guido $7xx0038820",$aIntegrated life-cycle and risk assessment for industrial processes /,,"$aBoca Raton : $bLewis, $cc2004",2004,$a362 s. :,362,BOOKS,$aAdvanced methods in resource and waste management ; $v2,,eng,,$a1-56670-644-0,"$aSonnemann, Guido",$aIntegrated life-cycle and risk assessment for industrial processes /,,"$aBoca Raton : $bLewis Publischers ; $aLondon, $cc2004",2004,$a362 s.,362,BOOKS,$aAdvanced methods in resource and waste management ; $v2,,eng,real
knav.KNA01-000018873 knav.KNA01-000022577,,$a5-248-01359-3,"$aŠevyrin, V. M.",$aZemskij i gorodskoj sojuzy : $b(1914-1917) /,,"$aMoskva : $bINION RAN, $c2000.",2000,$a63 s.,63,BOOKS,$aOtečestvennaja istorija,,rus,,$a5-248-01359-3,"$aŠevyrin, V. M.",$aZemskij i gorodskoj sojuzy (1914-1917) : $banalitičeskij obzor /,,"$aMoskva : $bINION RAN, $c2000.",2000,$a63 s.,63,BOOKS,$aOtečestvennaja istorija,,rus,real
mzk.MZK01-000400319 mzk.MZK01-000428751,$acnb000528530,,,$a95. výročí trvání českého gymnázia ve Strážnici : $b1897-1992 /,,"$aStrážnice : $bSpolek přátel Purkyňova gymnázia, $c1992",1992,"$a58 s., příl.",58,BOOKS,,,cze,$acnb000528530,,"$aNováček, Miloslav, $d1924- $7mzk2004156946",$a95. výročí trvání českého gymnázia ve Strážnici : $b1897-1992 /,,"$aStrážnice : $bSpolek přátel Purkyňova gymnázia, $c1992",1992,"$a58 s., [6] s. obrazových příloh :",58,BOOKS,,,cze,real
knav.KNA01-000016456 knav.KNA01-000024764,,$a83-87703-73-7,"$aKitowska-Łysiak, Małgorzata",$aŚlady : $bszkice o sztuce polskiej po 1945 roku /,,"$aLublin : $bTowarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego, $c1999.",1999,$a255 s.,255,BOOKS,$aTowarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego. Prace Wydziału Historyczno-Filologicznego; $v79,,pol,,$a83-87703-73-7,"$aKitowska-Łysiak, Małgorzata",$aŚlady : $bszkice o sztuce polskiej po 1945 roku /,,"$aLublin : $bTowarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego, $c1999.",1999,$a255 s.,255,BOOKS,$aTowarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego. Prace Wydziału Historyczno-Filologicznego; $v79,,pol,real
mzk.MZK01-000164887 mzk.MZK01-000800879,$acnb000709818,,"$aPecka, Dominik, $d1895-1981 $7jk01092231",$aŠkola a život /,$a1. vyd.,"$aFrýdek : $bExerciční dům, $c1947",1947,$a35 s.,35,BOOKS,$aŽivotem ; $vsv. 370,,cze,$acnb000709818,,"$aPecka, Dominik, $d1895-1981 $7jk01092231",$aŠkola a život /,$a1. vydání,"$aVe Frýdku : $bExerciční dům, $c1947",1947,$a35 s. ;,35,BOOKS,$aŽivotem ; $vč. 370,,cze,real
geobibline.990001899380206986 geobibline.990018586900106986,$acnb002528266,,,$a31° 50° Pilsen (Plzeň),$a1. Ausg.,"$aPrag : $bLandesvermessungsamt Böhmen und Mähren, $c1943",1943,$a1 mapa :,1,MAPS,,,ger,$acnb002528266,,$aProtektorát Čechy a Morava. $bLandesvermessungsamt Böhmen und Mähren,$a31°50° Pilsen $bPlzeň /,$a23. Ausg.,"$aPrag : $bLandesvermessungsamt Böhmen und Mähren, $c1943",1943,$a1 mapa :,1,MAPS,$a[Die Franzisco-Josephinische Landesaufnahme] 1:200 000,,ger,distinct
svkos.MVK01-000021114 svkos.MVK01-000021118,,,,"$a24 Sesja Naukowa AGH, 29 Zjazd Naukowy Wychowanków Uczelni na temat Wkład nauki w rozwój przemysłu hutniczego : $bsekcja Korozji Metali, sekcja Materiałów Ogniotrwałych /",,"$aKraków : $bAkademia Górniczo-Hutnicza, $c1973",1973,$a166 s.,166,BOOKS,,,pol,,,,"$a24 Sesja Naukowa AGH, 29 Zjazd Naukowy Wychowanków Uczelni na temat Wkład nauki w rozwój przemysłu hutniczego : $bsekcja Procesów Cieplnych w Metalurgii i Odlewnictwie /",,"$aKraków : $bAkademia Górniczo-Hutnicza, $c1973",1973,$a162 s.,162,BOOKS,,,pol,distinct
